accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method,timestamp,ano,mes,dia,hora
2017-03-16 06:00:17.686,2888,TCP  ,86.135.20.140,96,Mozilla Firefox,63,Male,AU,Premium,English,600.17,No,0.0,Cash,2017-03-16 06:00:17.686,2017,3,16,6
2017-03-16 06:00:17.686,3113,TCP  ,86.135.249.113,80,Mozilla Firefox,48,Female,IT,Premium,English,30.3,No,0.0,Credit Card,2017-03-16 06:00:17.686,2017,3,16,6
2017-03-16 06:01:11.426,2884,TCP  ,86.137.225.238,46,Mozilla Firefox,47,Male,JP,Premium,English,23.46,No,0.0,Cash,2017-03-16 06:01:11.426,2017,3,16,6
2017-03-16 06:01:11.426,2737,TCP  ,86.137.90.29,40,Android App,52,Female,JP,Premium,English,179.2,No,0.0,Credit Card,2017-03-16 06:01:11.426,2017,3,16,6
2017-03-16 06:02:49.457,4967,TCP  ,86.141.64.46,46,IOS App,38,Female,CA,Premium,English,0.0,Yes,839.43,Credit Card,2017-03-16 06:02:49.457,2017,3,16,6
2017-03-16 06:02:49.457,3634,TCP  ,86.142.163.108,40,IOS App,23,Female,AR,Premium,English,121.98,No,0.0,Cash,2017-03-16 06:02:49.457,2017,3,16,6
2017-03-16 06:00:13.397,4392,TCP  ,86.142.203.126,556,IOS App,31,Female,CN,Normal,English,121.98,No,0.0,Cash,2017-03-16 06:00:13.397,2017,3,16,6
2017-03-16 06:00:13.397,3994,TCP  ,86.142.226.230,515,Microsoft Edge,46,Female,PL,Normal,English,0.0,Yes,384.45,Debit Card,2017-03-16 06:00:13.397,2017,3,16,6
2017-03-16 06:00:13.443,2729,TCP  ,86.143.78.195,702,Microsoft Edge,29,Male,US,Normal,English,0.0,Yes,149.97,Credit Card,2017-03-16 06:00:13.443,2017,3,16,6
2017-03-16 06:00:13.443,2323,TCP  ,86.144.122.180,586,Microsoft Edge,43,Male,CA,Normal,English,20.92,No,0.0,Cash,2017-03-16 06:00:13.443,2017,3,16,6
2017-03-16 06:03:38.006,3497,TCP  ,86.144.181.143,46,Microsoft Edge,51,Female,CA,Premium,Spanish,1500.4,No,0.0,Cash,2017-03-16 06:03:38.006,2017,3,16,6
2017-03-16 06:03:38.006,2469,TCP  ,86.145.117.120,40,Microsoft Edge,21,Female,CH,Premium,English,40.66,No,0.0,Credit Card,2017-03-16 06:03:38.006,2017,3,16,6
2017-03-16 06:00:42.153,4912,UDP  ,86.145.187.225,439,Microsoft Edge,48,Male,CH,Premium,English,40.66,No,0.0,Others,2017-03-16 06:00:42.153,2017,3,16,6
2017-03-16 06:00:42.154,4959,ICMP ,86.145.77.164,467,Safari,65,Female,IT,Premium,English,600.16,No,0.0,Credit Card,2017-03-16 06:00:42.154,2017,3,16,6
2017-03-16 06:03:56.428,3651,TCP  ,86.145.90.32,92,Safari,--,Unknown,MX,Not Logged In,English,0.0,No,0.0,Credit Card,2017-03-16 06:03:56.428,2017,3,16,6
2017-03-16 06:03:56.428,3420,TCP  ,86.146.51.244,44,Safari,--,Unknown,GB,Not Logged In,English,0.0,No,0.0,Debit Card,2017-03-16 06:03:56.428,2017,3,16,6
2017-03-16 06:03:56.785,4969,TCP  ,86.147.206.48,767,Safari,--,Unknown,IT,Not Logged In,English,0.0,No,0.0,Credit Card,2017-03-16 06:03:56.785,2017,3,16,6
2017-03-16 06:03:56.785,3662,TCP  ,86.150.165.77,11927,Others,--,Unknown,US,Not Logged In,English,0.0,No,0.0,Credit Card,2017-03-16 06:03:56.785,2017,3,16,6
2017-03-16 06:04:03.357,2760,TCP  ,86.150.169.87,92,Others,23,Female,IT,Premium,English,900.24,No,0.0,Credit Card,2017-03-16 06:04:03.357,2017,3,16,6
2017-03-16 06:04:03.357,3263,TCP  ,86.150.187.71,40,Others,44,Male,IT,Premium,English,1500.4,No,0.0,Credit Card,2017-03-16 06:04:03.357,2017,3,16,6
2017-03-16 06:04:19.684,2902,TCP  ,86.150.72.251,92,Others,53,Female,CH,Premium,English,20.92,No,0.0,Cash,2017-03-16 06:04:19.684,2017,3,16,6
2017-03-16 06:04:19.684,2345,TCP  ,86.15.16.158,40,Others,51,Female,CA,Premium,English,5250.0,No,0.0,Cash,2017-03-16 06:04:19.684,2017,3,16,6
2017-03-16 06:05:25.516,3535,TCP  ,86.151.170.229,46,Others,25,Male,IN,Premium,English,0.0,Yes,28.4,Cash,2017-03-16 06:05:25.516,2017,3,16,6
2017-03-16 06:05:25.516,3812,TCP  ,86.151.181.156,40,Others,30,Male,IT,Premium,English,0.0,Yes,27.68,Credit Card,2017-03-16 06:05:25.516,2017,3,16,6
2017-03-16 06:05:25.727,1970,TCP  ,86.152.154.124,40,Others,44,Male,IT,Premium,English,15.15,No,0.0,Cash,2017-03-16 06:05:25.727,2017,3,16,6
2017-03-16 06:05:25.727,4739,TCP  ,86.152.184.109,46,Others,38,Male,IT,Premium,English,179.2,No,0.0,Cash,2017-03-16 06:05:25.727,2017,3,16,6
2017-03-16 06:00:13.450,4047,TCP  ,86.152.26.190,92,Others,31,Male,IT,Normal,English,900.24,No,0.0,Credit Card,2017-03-16 06:00:13.450,2017,3,16,6
2017-03-16 06:00:13.450,2040,TCP  ,86.153.133.36,190,Safari,45,Female,PL,Normal,English,0.0,Yes,32.064,Others,2017-03-16 06:00:13.450,2017,3,16,6
2017-03-16 06:02:35.170,2738,TCP  ,86.153.47.32,561,Safari,56,Female,FI,Normal,English,900.24,No,0.0,Credit Card,2017-03-16 06:02:35.170,2017,3,16,6
2017-03-16 06:02:35.170,4397,TCP  ,86.153.52.167,589,Safari,52,Male,US,Normal,English,1800.51,No,0.0,Debit Card,2017-03-16 06:02:35.170,2017,3,16,6
2017-03-16 06:02:35.170,3916,TCP  ,86.154.115.168,556,Safari,68,Female,KR,Normal,English,600.16,No,0.0,Others,2017-03-16 06:02:35.170,2017,3,16,6
2017-03-16 06:02:35.170,3109,TCP  ,86.155.147.26,515,Safari,47,Female,KR,Normal,English,58.65,No,0.0,Debit Card,2017-03-16 06:02:35.170,2017,3,16,6
2017-03-16 06:02:35.170,1662,TCP  ,86.155.17.46,702,Safari,51,Male,US,Normal,English,121.98,No,0.0,Cash,2017-03-16 06:02:35.170,2017,3,16,6
2017-03-16 06:02:35.170,4140,TCP  ,86.156.184.34,586,IOS App,26,Male,IT,Normal,English,600.16,No,0.0,Others,2017-03-16 06:02:35.170,2017,3,16,6
2017-03-16 06:02:36.350,3570,TCP  ,86.156.247.77,1727,Microsoft Edge,33,Female,PE,Normal,English,900.24,No,0.0,Credit Card,2017-03-16 06:02:36.350,2017,3,16,6
2017-03-16 06:02:36.350,4787,TCP  ,86.156.78.153,579,Microsoft Edge,51,Female,IT,Normal,English,81.32,No,0.0,Cash,2017-03-16 06:02:36.350,2017,3,16,6
2017-03-16 06:02:36.352,1511,TCP  ,86.157.114.185,639,Microsoft Edge,39,Female,RU,Normal,English,0.0,Yes,396.802,Debit Card,2017-03-16 06:02:36.352,2017,3,16,6
2017-03-16 06:02:36.352,2232,TCP  ,86.157.13.14,614,IOS App,25,Female,AR,Normal,English,0.0,Yes,15.88,Others,2017-03-16 06:02:36.352,2017,3,16,6
2017-03-16 06:05:48.549,2378,TCP  ,86.157.20.239,40,IOS App,30,Female,AT,Premium,English,1500.4,No,0.0,Cash,2017-03-16 06:05:48.549,2017,3,16,6
2017-03-16 06:05:48.549,2652,TCP  ,86.157.220.198,46,IOS App,22,Male,AT,Premium,English,203.3,No,0.0,Credit Card,2017-03-16 06:05:48.549,2017,3,16,6
2017-03-16 06:05:49.151,2252,TCP  ,86.157.25.208,46,IOS App,26,Female,CH,Premium,English,1500.4,No,0.0,Cash,2017-03-16 06:05:49.151,2017,3,16,6
2017-03-16 06:05:49.151,1691,TCP  ,86.157.57.218,40,IOS App,61,Male,KR,Premium,English,3000.85,No,0.0,Cash,2017-03-16 06:05:49.151,2017,3,16,6
2017-03-16 06:03:04.882,1575,UDP  ,86.157.64.127,441,Chrome,34,Female,CN,Premium,English,0.0,Yes,149.95,Others,2017-03-16 06:03:04.882,2017,3,16,6
2017-03-16 06:03:04.882,4191,ICMP ,86.157.9.22,469,Chrome,55,Female,CN,Premium,English,15.69,No,0.0,Others,2017-03-16 06:03:04.882,2017,3,16,6
2017-03-16 06:03:13.400,3889,TCP  ,86.158.106.235,561,Chrome,24,Male,CH,Normal,English,162.64,No,0.0,Credit Card,2017-03-16 06:03:13.400,2017,3,16,6
2017-03-16 06:03:13.400,2946,TCP  ,86.158.113.84,589,Chrome,19,Male,GB,Normal,English,600.17,No,0.0,Cash,2017-03-16 06:03:13.400,2017,3,16,6
2017-03-16 06:03:13.400,3953,TCP  ,86.158.196.115,556,Chrome,34,Male,RU,Normal,English,46.92,No,0.0,Debit Card,2017-03-16 06:03:13.400,2017,3,16,6
2017-03-16 06:03:13.400,3859,TCP  ,86.158.47.92,515,Chrome,57,Female,CN,Normal,English,900.24,No,0.0,Cash,2017-03-16 06:03:13.400,2017,3,16,6
2017-03-16 06:03:13.442,2077,TCP  ,86.158.66.191,702,Chrome,67,Female,CA,Normal,English,23.46,No,0.0,Cash,2017-03-16 06:03:13.442,2017,3,16,6
2017-03-16 06:03:13.442,2212,TCP  ,86.159.126.117,586,Chrome,30,Male,CH,Normal,English,58.65,No,0.0,Debit Card,2017-03-16 06:03:13.442,2017,3,16,6
2017-03-16 06:03:13.452,2571,TCP  ,86.159.146.117,1727,Chrome,55,Female,GB,Normal,English,600.16,No,0.0,Cash,2017-03-16 06:03:13.452,2017,3,16,6
2017-03-16 06:03:13.452,4409,TCP  ,86.159.172.176,579,Chrome,44,Female,IT,Normal,English,900.24,No,0.0,Credit Card,2017-03-16 06:03:13.452,2017,3,16,6
2017-03-16 06:03:14.762,4260,TCP  ,86.159.232.1,639,Others,49,Male,CN,Normal,English,0.0,Yes,19.9,Cash,2017-03-16 06:03:14.762,2017,3,16,6
2017-03-16 06:03:14.762,1609,TCP  ,86.159.236.75,614,Others,45,Female,PE,Normal,English,600.17,No,0.0,Cash,2017-03-16 06:03:14.762,2017,3,16,6
2017-03-16 06:06:25.924,4391,TCP  ,86.16.89.65,92,Others,20,Male,US,Premium,English,15.69,No,0.0,Others,2017-03-16 06:06:25.924,2017,3,16,6
2017-03-16 06:06:25.924,2052,TCP  ,86.161.123.15,40,Others,45,Female,IT,Premium,English,60.6,No,0.0,Others,2017-03-16 06:06:25.924,2017,3,16,6
2017-03-16 06:06:33.498,3681,TCP  ,86.161.128.110,46,Others,57,Female,US,Premium,English,0.0,Yes,16.056,Cash,2017-03-16 06:06:33.498,2017,3,16,6
2017-03-16 06:06:33.498,4305,TCP  ,86.162.94.137,40,Others,26,Female,IT,Premium,English,45.45,No,0.0,Others,2017-03-16 06:06:33.498,2017,3,16,6
2017-03-16 06:06:35.501,4175,TCP  ,86.163.137.73,46,Mozilla Firefox,64,Male,CN,Premium,English,600.16,No,0.0,Debit Card,2017-03-16 06:06:35.501,2017,3,16,6
2017-03-16 06:06:35.501,3580,TCP  ,86.163.207.200,40,Mozilla Firefox,41,Male,US,Premium,English,203.3,No,0.0,Cash,2017-03-16 06:06:35.501,2017,3,16,6
2017-03-16 06:08:18.377,2044,TCP  ,86.164.156.71,46,Mozilla Firefox,69,Female,US,Premium,English,0.0,Yes,66.284,Cash,2017-03-16 06:08:18.377,2017,3,16,6
2017-03-16 06:08:18.377,4178,TCP  ,86.164.172.185,40,Mozilla Firefox,50,Male,US,Premium,English,15.69,No,0.0,Credit Card,2017-03-16 06:08:18.377,2017,3,16,6
2017-03-16 06:08:19.278,4530,TCP  ,86.164.183.150,40,Mozilla Firefox,64,Male,SE,Premium,English,900.24,No,0.0,Cash,2017-03-16 06:08:19.278,2017,3,16,6
2017-03-16 06:08:19.278,3251,TCP  ,86.164.51.244,46,Mozilla Firefox,56,Female,RU,Premium,English,0.0,Yes,83.92,Credit Card,2017-03-16 06:08:19.278,2017,3,16,6
2017-03-16 06:08:26.878,4407,TCP  ,86.164.53.135,46,Android App,52,Male,CN,Premium,English,600.17,No,0.0,Cash,2017-03-16 06:08:26.878,2017,3,16,6
2017-03-16 06:08:26.878,2486,TCP  ,86.165.102.187,40,Android App,56,Female,NO,Premium,English,0.0,Yes,15.92,Credit Card,2017-03-16 06:08:26.878,2017,3,16,6
2017-03-16 06:05:35.170,4111,TCP  ,86.165.185.241,702,Android App,62,Male,IN,Normal,English,121.98,No,0.0,Cash,2017-03-16 06:05:35.170,2017,3,16,6
2017-03-16 06:05:35.170,4401,TCP  ,86.165.223.113,586,Android App,39,Female,IT,Normal,English,81.32,No,0.0,Cash,2017-03-16 06:05:35.170,2017,3,16,6
2017-03-16 06:05:35.170,1735,TCP  ,86.165.3.165,556,Android App,43,Female,IT,Normal,English,107.52,No,0.0,Cash,2017-03-16 06:05:35.170,2017,3,16,6
2017-03-16 06:05:35.170,2643,TCP  ,86.165.3.165,515,Android App,25,Male,PL,Normal,English,121.98,No,0.0,Cash,2017-03-16 06:05:35.170,2017,3,16,6
2017-03-16 06:08:35.986,2570,TCP  ,86.166.63.120,46,Android App,27,Female,JP,Premium,English,20.92,No,0.0,Cash,2017-03-16 06:08:35.986,2017,3,16,6
2017-03-16 06:08:35.986,2141,TCP  ,86.166.64.142,40,Android App,20,Female,CH,Premium,English,3000.85,No,0.0,Debit Card,2017-03-16 06:08:35.986,2017,3,16,6
2017-03-16 06:06:13.396,1949,TCP  ,86.167.185.35,556,Android App,24,Female,US,Normal,English,900.24,No,0.0,Cash,2017-03-16 06:06:13.396,2017,3,16,6
2017-03-16 06:06:13.396,3792,TCP  ,86.167.193.138,515,Android App,67,Female,IT,Normal,English,121.98,No,0.0,Debit Card,2017-03-16 06:06:13.396,2017,3,16,6
2017-03-16 06:06:13.442,4133,TCP  ,86.167.55.141,702,Android App,18,Female,US,Normal,English,1050.0,No,0.0,Others,2017-03-16 06:06:13.442,2017,3,16,6
2017-03-16 06:06:13.442,2123,TCP  ,86.169.126.224,586,Android App,55,Female,IN,Normal,English,900.24,No,0.0,Debit Card,2017-03-16 06:06:13.442,2017,3,16,6
2017-03-16 06:09:41.772,3418,TCP  ,86.169.26.72,46,Android App,54,Male,IT,Premium,English,0.0,Yes,22.704,Debit Card,2017-03-16 06:09:41.772,2017,3,16,6
2017-03-16 06:09:41.772,3668,TCP  ,86.169.58.85,40,Android App,32,Female,SE,Premium,English,600.16,No,0.0,Debit Card,2017-03-16 06:09:41.772,2017,3,16,6
2017-03-16 06:09:56.673,2363,TCP  ,86.169.58.85,92,Android App,20,Male,JP,Premium,English,35.84,No,0.0,Others,2017-03-16 06:09:56.673,2017,3,16,6
2017-03-16 06:09:56.673,3953,TCP  ,86.170.201.80,40,Android App,30,Female,IN,Premium,English,5250.0,No,0.0,Cash,2017-03-16 06:09:56.673,2017,3,16,6
2017-03-16 06:07:35.170,2109,TCP  ,86.170.6.102,561,Android App,45,Male,US,Normal,English,1500.4,No,0.0,Cash,2017-03-16 06:07:35.170,2017,3,16,6
2017-03-16 06:07:35.170,2669,TCP  ,86.17.28.210,589,Android App,45,Male,RU,Normal,English,81.32,No,0.0,Debit Card,2017-03-16 06:07:35.170,2017,3,16,6
2017-03-16 06:07:35.296,3818,TCP  ,86.17.95.185,1727,Android App,22,Female,CA,Normal,English,23.46,No,0.0,Credit Card,2017-03-16 06:07:35.296,2017,3,16,6
2017-03-16 06:07:35.296,4339,TCP  ,86.171.111.136,579,Android App,50,Female,IT,Normal,English,0.0,Yes,21.98,Debit Card,2017-03-16 06:07:35.296,2017,3,16,6
2017-03-16 06:06:13.442,2347,TCP  ,86.171.14.153,561,Android App,60,Female,US,Normal,English,0.0,Yes,161.568,Credit Card,2017-03-16 06:06:13.442,2017,3,16,6
2017-03-16 06:06:13.442,2066,TCP  ,86.171.72.158,589,Android App,59,Female,PR,Normal,English,1500.4,No,0.0,Credit Card,2017-03-16 06:06:13.442,2017,3,16,6
2017-03-16 06:08:13.554,4387,TCP  ,86.172.111.129,1727,Chrome,59,Female,IT,Normal,English,20.92,No,0.0,Cash,2017-03-16 06:08:13.554,2017,3,16,6
2017-03-16 06:08:13.554,3029,TCP  ,86.172.160.148,579,Mozilla Firefox,62,Male,CA,Normal,English,81.32,No,0.0,Credit Card,2017-03-16 06:08:13.554,2017,3,16,6
2017-03-16 06:11:18.737,4782,TCP  ,86.172.169.161,1389,Mozilla Firefox,55,Female,IT,Premium,English,900.24,No,0.0,Credit Card,2017-03-16 06:11:18.737,2017,3,16,6
2017-03-16 06:11:18.737,2230,TCP  ,86.173.38.124,1045,Mozilla Firefox,47,Female,RU,Premium,English,20.92,No,0.0,Cash,2017-03-16 06:11:18.737,2017,3,16,6
2017-03-16 06:08:35.171,2203,TCP  ,86.174.112.47,702,Mozilla Firefox,68,Male,SE,Normal,English,0.0,Yes,258.072,Cash,2017-03-16 06:08:35.171,2017,3,16,6
2017-03-16 06:08:35.171,2916,TCP  ,86.174.1.181,586,Mozilla Firefox,69,Female,GB,Normal,English,26.15,No,0.0,Credit Card,2017-03-16 06:08:35.171,2017,3,16,6
2017-03-16 06:08:35.171,1717,TCP  ,86.175.56.7,556,Mozilla Firefox,45,Female,IT,Normal,English,600.17,No,0.0,Cash,2017-03-16 06:08:35.171,2017,3,16,6
2017-03-16 06:08:35.171,3086,TCP  ,86.176.36.112,515,Mozilla Firefox,33,Male,US,Normal,English,5.23,No,0.0,Debit Card,2017-03-16 06:08:35.171,2017,3,16,6
2017-03-16 06:08:36.321,2071,TCP  ,86.176.3.84,639,Mozilla Firefox,49,Male,US,Normal,English,10.46,No,0.0,Cash,2017-03-16 06:08:36.321,2017,3,16,6
2017-03-16 06:08:36.321,4909,TCP  ,86.176.7.89,614,Mozilla Firefox,42,Female,US,Normal,English,179.2,No,0.0,Cash,2017-03-16 06:08:36.321,2017,3,16,6
2017-03-16 06:11:38.115,1734,TCP  ,86.178.102.216,46,Mozilla Firefox,36,Female,IT,Premium,English,40.66,No,0.0,Cash,2017-03-16 06:11:38.115,2017,3,16,6
2017-03-16 06:11:38.115,4587,TCP  ,86.179.101.215,40,Android App,62,Male,PL,Premium,English,0.0,Yes,177.225,Cash,2017-03-16 06:11:38.115,2017,3,16,6
2017-03-16 06:08:49.156,3416,UDP  ,86.179.21.79,71,Chrome,43,Male,IT,Premium,English,0.0,Yes,4.044,Debit Card,2017-03-16 06:08:49.156,2017,3,16,6
