country,pay_method,contagem,total_vendas
AE,Cash,107,32513.944000000003
AE,Credit Card,60,29150.014
AE,Debit Card,29,9567.858
AE,Others,24,6013.668
AR,Cash,1373,547675.013
AR,Credit Card,1000,437748.966
AR,Debit Card,513,201815.706
AR,Others,372,131288.635
AT,Cash,2000,834789.2905
AT,Credit Card,1499,635453.5800000001
AT,Debit Card,790,334575.88
AT,Others,546,226863.61000000002
AU,Cash,2001,867337.4439999999
AU,Credit Card,1377,515873.46150000003
AU,Debit Card,718,299076.843
AU,Others,520,203464.25
CA,Cash,7517,3130490.0071
CA,Credit Card,5541,2231872.005
CA,Debit Card,2922,1201104.7456
CA,Others,2036,885320.4149999999
CH,Cash,3537,1431207.3488
CH,Credit Card,2543,1010239.4118
CH,Debit Card,1320,529597.1145
CH,Others,955,379539.539
CN,Cash,4307,1810465.2096
CN,Credit Card,3197,1292811.2537
CN,Debit Card,1648,670682.3709999999
CN,Others,1170,476614.196
CO,Cash,623,234842.04
CO,Credit Card,475,203729.918
CO,Debit Card,258,89984.301
CO,Others,179,84258.991
DE,Cash,923,384054.213
DE,Credit Card,678,275366.19399999996
DE,Debit Card,346,154916.609
DE,Others,252,103908.913
DK,Cash,78,28021.129999999997
DK,Credit Card,77,41227.996
DK,Debit Card,40,20389.92
DK,Others,25,13002.642
FI,Cash,297,118569.646
FI,Credit Card,191,95575.322
FI,Debit Card,100,34424.625
FI,Others,72,34739.32
FR,Cash,52,23408.66
FR,Credit Card,31,14888.604
FR,Debit Card,15,3630.83
FR,Others,9,4136.349999999999
GB,Cash,2028,822092.5336
GB,Credit Card,1600,644480.3080000001
GB,Debit Card,844,340405.507
GB,Others,585,230883.435
IE,Cash,105,29840.342
IE,Credit Card,62,46940.401999999995
IE,Debit Card,26,6489.62
IE,Others,27,18228.120000000003
IN,Cash,3445,1445953.1949999998
IN,Credit Card,2482,1015416.0899
IN,Debit Card,1278,503655.044
IN,Others,925,413199.521
IT,Cash,14751,5987487.2443
IT,Credit Card,10699,4517036.5789
IT,Debit Card,5520,2226162.92
IT,Others,3957,1624404.0914
JP,Cash,4340,1750690.7615
JP,Credit Card,3044,1398152.9685
JP,Debit Card,1570,640134.917
JP,Others,1152,455829.4826
KR,Cash,970,409059.1595
KR,Credit Card,642,235812.464
KR,Debit Card,339,148216.626
KR,Others,249,102427.432
MX,Cash,493,208986.3824
MX,Credit Card,317,123404.79800000001
MX,Debit Card,165,78446.13
MX,Others,124,61465.601
NO,Cash,1707,733143.8130000001
NO,Credit Card,1064,440701.7582
NO,Debit Card,544,220656.168
NO,Others,419,138444.816
PE,Cash,507,192187.025
PE,Credit Card,317,127120.507
PE,Debit Card,148,61895.678
PE,Others,128,49718.532
PL,Cash,2807,1222216.0969999998
PL,Credit Card,2123,949332.416
PL,Debit Card,1110,474059.9288
PL,Others,765,295428.2223
PR,Cash,742,289293.032
PR,Credit Card,532,226747.17
PR,Debit Card,282,125689.78
PR,Others,199,87039.208
RU,Cash,4080,1668530.4004
RU,Credit Card,2964,1183807.6908
RU,Debit Card,1520,641267.4845
RU,Others,1103,409112.973
SE,Cash,1932,821440.76
SE,Credit Card,1379,589216.222
SE,Debit Card,725,278839.20749999996
SE,Others,519,202529.641
US,Cash,12653,5148867.789299999
US,Credit Card,9673,4103936.7626
US,Debit Card,5000,2072658.1208000001
US,Others,3525,1493801.7471999999
ZA,Cash,334,114805.8032
ZA,Credit Card,229,86524.69
ZA,Debit Card,121,36466.768000000004
ZA,Others,82,38777.736
