country,pay_method,contagem,total_vendas
AR,Cash,24,13255.919999999998
CA,Cash,100,59574.990000000005
DE,Credit Card,8,3997.3
GB,Cash,26,8219.65
IN,Credit Card,35,12540.929999999998
IN,Cash,56,28774.649999999998
JP,Cash,61,29834.169999999995
GB,Debit Card,14,6098.279999999999
PL,Debit Card,12,9228.38
CH,Debit Card,21,6144.459999999998
SE,Cash,29,18040.350000000002
CA,Debit Card,54,28449.839999999993
AT,Credit Card,19,12433.279999999997
IT,Credit Card,152,98808.03000000003
US,Others,52,20192.469999999994
RU,Cash,52,24143.879999999994
IT,Cash,219,108238.07000000007
US,Debit Card,70,36515.54
JP,Others,17,4784.669999999998
CA,Credit Card,81,36732.67
JP,Credit Card,45,26635.73999999999
US,Credit Card,157,82855.21
CN,Credit Card,46,26959.729999999992
CN,Cash,59,37975.4
IT,Debit Card,71,31929.279999999977
GB,Credit Card,21,3994.7999999999997
PL,Others,10,8516.470000000001
PL,Cash,40,16635.66
US,Cash,164,75901.06
CH,Others,15,3074.58
SE,Credit Card,16,6033.199999999999
AT,Debit Card,15,7733.989999999999
CH,Credit Card,32,12670.279999999999
AT,Cash,28,10180.55
NO,Credit Card,12,5033.360000000001
MX,Cash,11,8186.98
RU,Debit Card,24,13547.339999999998
DE,Cash,17,5058.41
IT,Others,47,24973.319999999992
CN,Others,19,5438.0599999999995
CN,Debit Card,21,12109.46
IN,Debit Card,16,10457.010000000002
CH,Cash,50,29804.97
KR,Others,4,178.32999999999998
PL,Credit Card,33,12028.21
SE,Debit Card,10,1202.47
GB,Others,12,7976.099999999999
CA,Others,25,9438.59
NO,Debit Card,7,1746.4100000000003
AR,Credit Card,13,3647.53
JP,Debit Card,21,4577.629999999999
AU,Debit Card,10,5094.61
KR,Cash,17,5764.51
AU,Cash,25,14267.82
AR,Others,3,2421.5600000000004
AU,Others,10,3026.35
FI,Debit Card,2,40.66
RU,Credit Card,40,19194.479999999996
PR,Credit Card,9,2537.63
NO,Cash,31,22644.54
RU,Others,19,4537.099999999999
MX,Credit Card,2,1526.5500000000002
AU,Credit Card,18,7022.59
IE,Credit Card,2,2100.56
DK,Cash,2,600.17
CO,Credit Card,6,2169.23
SE,Others,9,3587.2200000000003
AE,Credit Card,1,40.66
PE,Cash,5,1833.13
KR,Debit Card,5,2213.27
PE,Others,3,241.19
DE,Debit Card,4,3016.5
IN,Others,12,12214.57
AR,Debit Card,6,7224.34
MX,Others,2,11.73
FI,Credit Card,4,1678.73
AT,Others,8,7308.92
PE,Credit Card,7,3683.41
KR,Credit Card,5,3927.19
PR,Debit Card,3,5515.339999999999
CO,Others,3,1719.39
CO,Cash,7,1653.4000000000003
PR,Cash,10,9143.19
DE,Others,3,106.05
ZA,Debit Card,1,1500.4
FR,Cash,2,1212.6399999999999
CO,Debit Card,5,143.36
AE,Debit Card,1,900.24
IE,Others,1,900.24
MX,Debit Card,1,40.66
FI,Cash,3,224.68
NO,Others,3,92.60000000000001
PR,Others,2,1500.4
AE,Cash,1,1500.4
DK,Credit Card,1,900.24
